intent,question,answer
tax_price,what is the cost of personal tax filing,INVOICE CHARGES: Authorization Fees – $25. Single Tax Filing – $52.35. Family Tax Filing – $105.09. Personal Tax Filing for 3 People – $140.68. Personal Tax Filing for 4 People – $187.56. Personal Tax Filing for 5 People – $234.48. Rental Income – $118.65. Self Employment > 3000 – $118.65. Self Employment < 3000 – $23.67. New Comer (Welcome Canada) Benefits – $45.20. T2200 Work From Home Expenses – $67.80. Foreign Income – $169.50.
tax_price,how much does tax filing cost,INVOICE CHARGES: Authorization Fees – $25. Single Tax Filing – $52.35. Family Tax Filing – $105.09. Personal Tax Filing for 3 People – $140.68. Personal Tax Filing for 4 People – $187.56. Personal Tax Filing for 5 People – $234.48. Rental Income – $118.65. Self Employment > 3000 – $118.65. Self Employment < 3000 – $23.67. New Comer (Welcome Canada) Benefits – $45.20. T2200 Work From Home Expenses – $67.80. Foreign Income – $169.50.
tax_price,personal tax filing price,INVOICE CHARGES: Authorization Fees – $25. Single Tax Filing – $52.35. Family Tax Filing – $105.09. Personal Tax Filing for 3 People – $140.68. Personal Tax Filing for 4 People – $187.56. Personal Tax Filing for 5 People – $234.48. Rental Income – $118.65. Self Employment > 3000 – $118.65. Self Employment < 3000 – $23.67. New Comer (Welcome Canada) Benefits – $45.20. T2200 Work From Home Expenses – $67.80. Foreign Income – $169.50.
tax_price,what are your tax filing charges,INVOICE CHARGES: Authorization Fees – $25. Single Tax Filing – $52.35. Family Tax Filing – $105.09. Personal Tax Filing for 3 People – $140.68. Personal Tax Filing for 4 People – $187.56. Personal Tax Filing for 5 People – $234.48. Rental Income – $118.65. Self Employment > 3000 – $118.65. Self Employment < 3000 – $23.67. New Comer (Welcome Canada) Benefits – $45.20. T2200 Work From Home Expenses – $67.80. Foreign Income – $169.50.
tax_price,how much do you charge for taxes,INVOICE CHARGES: Authorization Fees – $25. Single Tax Filing – $52.35. Family Tax Filing – $105.09. Personal Tax Filing for 3 People – $140.68. Personal Tax Filing for 4 People – $187.56. Personal Tax Filing for 5 People – $234.48. Rental Income – $118.65. Self Employment > 3000 – $118.65. Self Employment < 3000 – $23.67. New Comer (Welcome Canada) Benefits – $45.20. T2200 Work From Home Expenses – $67.80. Foreign Income – $169.50.
tax_price,price for personal tax return,INVOICE CHARGES: Authorization Fees – $25. Single Tax Filing – $52.35. Family Tax Filing – $105.09. Personal Tax Filing for 3 People – $140.68. Personal Tax Filing for 4 People – $187.56. Personal Tax Filing for 5 People – $234.48. Rental Income – $118.65. Self Employment > 3000 – $118.65. Self Employment < 3000 – $23.67. New Comer (Welcome Canada) Benefits – $45.20. T2200 Work From Home Expenses – $67.80. Foreign Income – $169.50.
tax_price,tax preparation cost,INVOICE CHARGES: Authorization Fees – $25. Single Tax Filing – $52.35. Family Tax Filing – $105.09. Personal Tax Filing for 3 People – $140.68. Personal Tax Filing for 4 People – $187.56. Personal Tax Filing for 5 People – $234.48. Rental Income – $118.65. Self Employment > 3000 – $118.65. Self Employment < 3000 – $23.67. New Comer (Welcome Canada) Benefits – $45.20. T2200 Work From Home Expenses – $67.80. Foreign Income – $169.50.
tax_price,tax filing fees,INVOICE CHARGES: Authorization Fees – $25. Single Tax Filing – $52.35. Family Tax Filing – $105.09. Personal Tax Filing for 3 People – $140.68. Personal Tax Filing for 4 People – $187.56. Personal Tax Filing for 5 People – $234.48. Rental Income – $118.65. Self Employment > 3000 – $118.65. Self Employment < 3000 – $23.67. New Comer (Welcome Canada) Benefits – $45.20. T2200 Work From Home Expenses – $67.80. Foreign Income – $169.50.
tax_price,how much for single tax filing,INVOICE CHARGES: Authorization Fees – $25. Single Tax Filing – $52.35. Family Tax Filing – $105.09. Personal Tax Filing for 3 People – $140.68. Personal Tax Filing for 4 People – $187.56. Personal Tax Filing for 5 People – $234.48. Rental Income – $118.65. Self Employment > 3000 – $118.65. Self Employment < 3000 – $23.67. New Comer (Welcome Canada) Benefits – $45.20. T2200 Work From Home Expenses – $67.80. Foreign Income – $169.50.
tax_price,what is the tax filing fee,INVOICE CHARGES: Authorization Fees – $25. Single Tax Filing – $52.35. Family Tax Filing – $105.09. Personal Tax Filing for 3 People – $140.68. Personal Tax Filing for 4 People – $187.56. Personal Tax Filing for 5 People – $234.48. Rental Income – $118.65. Self Employment > 3000 – $118.65. Self Employment < 3000 – $23.67. New Comer (Welcome Canada) Benefits – $45.20. T2200 Work From Home Expenses – $67.80. Foreign Income – $169.50.
tax_process,how does the tax filing process work,Process: Click New Client → Sign Up → Login → Redirect to TaxDome → Open Organizer Form → Fill the questions → Submit → Upload documents → Invoice will be raised → Pay the invoice → Our team starts working on your tax filing.
tax_process,steps for filing tax with mercury tax,Process: Click New Client → Sign Up → Login → Redirect to TaxDome → Open Organizer Form → Fill the questions → Submit → Upload documents → Invoice will be raised → Pay the invoice → Our team starts working on your tax filing.
tax_process,how to submit tax documents,Process: Click New Client → Sign Up → Login → Redirect to TaxDome → Open Organizer Form → Fill the questions → Submit → Upload documents → Invoice will be raised → Pay the invoice → Our team starts working on your tax filing.
tax_process,how to start tax filing,Process: Click New Client → Sign Up → Login → Redirect to TaxDome → Open Organizer Form → Fill the questions → Submit → Upload documents → Invoice will be raised → Pay the invoice → Our team starts working on your tax filing.
tax_process,how do i upload tax documents,Process: Click New Client → Sign Up → Login → Redirect to TaxDome → Open Organizer Form → Fill the questions → Submit → Upload documents → Invoice will be raised → Pay the invoice → Our team starts working on your tax filing.
tax_process,what is the procedure for tax filing,Process: Click New Client → Sign Up → Login → Redirect to TaxDome → Open Organizer Form → Fill the questions → Submit → Upload documents → Invoice will be raised → Pay the invoice → Our team starts working on your tax filing.
tax_process,how do i file my tax with your company,Process: Click New Client → Sign Up → Login → Redirect to TaxDome → Open Organizer Form → Fill the questions → Submit → Upload documents → Invoice will be raised → Pay the invoice → Our team starts working on your tax filing.
tax_process,how does online tax filing work,Process: Click New Client → Sign Up → Login → Redirect to TaxDome → Open Organizer Form → Fill the questions → Submit → Upload documents → Invoice will be raised → Pay the invoice → Our team starts working on your tax filing.
tax_process,what happens after signup,Process: Click New Client → Sign Up → Login → Redirect to TaxDome → Open Organizer Form → Fill the questions → Submit → Upload documents → Invoice will be raised → Pay the invoice → Our team starts working on your tax filing.
tax_process,how does your tax process work,Process: Click New Client → Sign Up → Login → Redirect to TaxDome → Open Organizer Form → Fill the questions → Submit → Upload documents → Invoice will be raised → Pay the invoice → Our team starts working on your tax filing.
walkin,is walk in available,Yes walk-ins are available only from Thursday to Saturday between 2 PM and 5 PM. Walk-in service costs extra around $70 + HST.
walkin,can i visit office directly,Yes walk-ins are available only from Thursday to Saturday between 2 PM and 5 PM. Walk-in service costs extra around $70 + HST.
walkin,do you accept walk in clients,Yes walk-ins are available only from Thursday to Saturday between 2 PM and 5 PM. Walk-in service costs extra around $70 + HST.
walkin,can i come without appointment,Yes walk-ins are available only from Thursday to Saturday between 2 PM and 5 PM. Walk-in service costs extra around $70 + HST.
walkin,walk in service available,Yes walk-ins are available only from Thursday to Saturday between 2 PM and 5 PM. Walk-in service costs extra around $70 + HST.
walkin,can i walk in for tax filing,Yes walk-ins are available only from Thursday to Saturday between 2 PM and 5 PM. Walk-in service costs extra around $70 + HST.
walkin,can i visit mercury tax directly,Yes walk-ins are available only from Thursday to Saturday between 2 PM and 5 PM. Walk-in service costs extra around $70 + HST.
walkin,office walk in timing,Yes walk-ins are available only from Thursday to Saturday between 2 PM and 5 PM. Walk-in service costs extra around $70 + HST.
walkin,can i come to office for taxes,Yes walk-ins are available only from Thursday to Saturday between 2 PM and 5 PM. Walk-in service costs extra around $70 + HST.
walkin,is direct visit allowed,Yes walk-ins are available only from Thursday to Saturday between 2 PM and 5 PM. Walk-in service costs extra around $70 + HST.
appointment,how to book appointment,"You can book an appointment by clicking the Book Appointment option on the website. Select Personal or Corporate service, choose the date and pick one of the available time slots."
appointment,how can i book appointment,"You can book an appointment by clicking the Book Appointment option on the website. Select Personal or Corporate service, choose the date and pick one of the available time slots."
appointment,schedule appointment,"You can book an appointment by clicking the Book Appointment option on the website. Select Personal or Corporate service, choose the date and pick one of the available time slots."
appointment,book meeting with accountant,"You can book an appointment by clicking the Book Appointment option on the website. Select Personal or Corporate service, choose the date and pick one of the available time slots."
appointment,how do i schedule tax appointment,"You can book an appointment by clicking the Book Appointment option on the website. Select Personal or Corporate service, choose the date and pick one of the available time slots."
appointment,appointment booking process,"You can book an appointment by clicking the Book Appointment option on the website. Select Personal or Corporate service, choose the date and pick one of the available time slots."
appointment,can i book consultation,"You can book an appointment by clicking the Book Appointment option on the website. Select Personal or Corporate service, choose the date and pick one of the available time slots."
appointment,how to schedule tax consultation,"You can book an appointment by clicking the Book Appointment option on the website. Select Personal or Corporate service, choose the date and pick one of the available time slots."
appointment,appointment for corporate tax,"You can book an appointment by clicking the Book Appointment option on the website. Select Personal or Corporate service, choose the date and pick one of the available time slots."
appointment,how to book meeting,"You can book an appointment by clicking the Book Appointment option on the website. Select Personal or Corporate service, choose the date and pick one of the available time slots."
corporate_services,do you provide corporate accounting,For corporate accounting or corporate tax services you can book an appointment from the Book Appointment section or email us at info@mercurytaxes.com.
corporate_services,how to book corporate tax appointment,For corporate accounting or corporate tax services you can book an appointment from the Book Appointment section or email us at info@mercurytaxes.com.
corporate_services,corporate accounting services,For corporate accounting or corporate tax services you can book an appointment from the Book Appointment section or email us at info@mercurytaxes.com.
corporate_services,corporate tax consultation,For corporate accounting or corporate tax services you can book an appointment from the Book Appointment section or email us at info@mercurytaxes.com.
corporate_services,i need help with corporate tax,For corporate accounting or corporate tax services you can book an appointment from the Book Appointment section or email us at info@mercurytaxes.com.
corporate_services,corporate tax service booking,For corporate accounting or corporate tax services you can book an appointment from the Book Appointment section or email us at info@mercurytaxes.com.
corporate_services,corporate accountant appointment,For corporate accounting or corporate tax services you can book an appointment from the Book Appointment section or email us at info@mercurytaxes.com.
corporate_services,how to contact for corporate tax,For corporate accounting or corporate tax services you can book an appointment from the Book Appointment section or email us at info@mercurytaxes.com.
corporate_services,corporate accounting help,For corporate accounting or corporate tax services you can book an appointment from the Book Appointment section or email us at info@mercurytaxes.com.
corporate_services,corporate service contact,For corporate accounting or corporate tax services you can book an appointment from the Book Appointment section or email us at info@mercurytaxes.com.
address,what is your office address,Our Head Office Address: 204-2401 Eglinton Ave E Toronto ON M1K 2N8.
address,where is mercury tax located,Our Head Office Address: 204-2401 Eglinton Ave E Toronto ON M1K 2N8.
address,office location,Our Head Office Address: 204-2401 Eglinton Ave E Toronto ON M1K 2N8.
address,where is your office,Our Head Office Address: 204-2401 Eglinton Ave E Toronto ON M1K 2N8.
address,mercury tax address,Our Head Office Address: 204-2401 Eglinton Ave E Toronto ON M1K 2N8.
address,office address toronto,Our Head Office Address: 204-2401 Eglinton Ave E Toronto ON M1K 2N8.
address,location of mercury tax office,Our Head Office Address: 204-2401 Eglinton Ave E Toronto ON M1K 2N8.
address,where can i visit your office,Our Head Office Address: 204-2401 Eglinton Ave E Toronto ON M1K 2N8.
address,company address,Our Head Office Address: 204-2401 Eglinton Ave E Toronto ON M1K 2N8.
address,where is the office located,Our Head Office Address: 204-2401 Eglinton Ave E Toronto ON M1K 2N8.
phone,what is your phone number,You can contact Mercury Tax at 416-750-3600.
phone,contact number,You can contact Mercury Tax at 416-750-3600.
phone,call mercury tax,You can contact Mercury Tax at 416-750-3600.
phone,phone number of mercury tax,You can contact Mercury Tax at 416-750-3600.
phone,how to contact mercury tax,You can contact Mercury Tax at 416-750-3600.
phone,support phone number,You can contact Mercury Tax at 416-750-3600.
phone,customer service number,You can contact Mercury Tax at 416-750-3600.
phone,office phone,You can contact Mercury Tax at 416-750-3600.
phone,how do i call you,You can contact Mercury Tax at 416-750-3600.
phone,contact phone,You can contact Mercury Tax at 416-750-3600.
email,what is your email address,You can email Mercury Tax at info@mercurytaxes.com.
email,how to email mercury tax,You can email Mercury Tax at info@mercurytaxes.com.
email,company email,You can email Mercury Tax at info@mercurytaxes.com.
